Date: 2018-01-28 13:28:48.452097

---Species concentration bounds--- 
Ester : (3800.0, 4200.0)
afEst2 : (9.5, 10.5)

--- Parameters --- 
afest_kcat : (5, 7)
afest_km_ester : (1300, 1700)


--- Ester Uncertainty Analysis Quartiles ---
Time, Ester High, Ester Low, Ester Mean, 
47.0, 2440.7728011, 1782.91894981, 2128.90811125, 
48.0, 2408.82878479, 1745.59011314, 2093.98451488, 
49.0, 2377.05570314, 1708.61638145, 2059.31108565, 
50.0, 2345.435638, 1672.00268999, 2024.891001, 
51.0, 2313.95210841, 1635.7539833, 1990.72745202, 
52.0, 2282.64481677, 1599.87518139, 1956.82364039, 
53.0, 2251.51558073, 1564.71552297, 1923.18277595, 
54.0, 2220.56622658, 1530.50272917, 1889.80807428, 
55.0, 2189.7985893, 1496.67306995, 1856.7027542, 
56.0, 2159.21451141, 1463.23060973, 1823.87003498, 
57.0, 2128.81584168, 1430.17934115, 1791.3131331, 
58.0, 2098.60443575, 1397.52320074, 1759.03525903, 
59.0, 2068.58215491, 1365.26604124, 1727.03961357, 
60.0, 2038.75086498, 1333.4116472, 1695.32938517, 
61.0, 2009.11243579, 1301.96369607, 1663.90774624, 
62.0, 1979.66873963, 1270.92578268, 1632.77784901, 
63.0, 1950.42165067, 1240.30138194, 1601.94281999, 
64.0, 1921.37304459, 1210.09386643, 1571.40575905, 
65.0, 1892.52479711, 1180.30647058, 1541.16973321, 
66.0, 1863.87878305, 1150.94231062, 1511.23777163, 
67.0, 1835.43687532, 1122.00436271, 1481.61286165, 
68.0, 1807.20094235, 1093.49544199, 1452.29794396, 
69.0, 1779.17284862, 1065.41821147, 1423.29590847, 
70.0, 1751.35445326, 1037.77517019, 1394.60958823, 
71.0, 1723.74760828, 1010.56863406, 1366.24175411, 
72.0, 1696.35415782, 983.800737005, 1338.19511045, 
73.0, 1669.17593659, 957.473426566, 1310.47228936, 
74.0, 1642.21476851, 931.588444918, 1283.07584573, 
75.0, 1615.47246511, 906.147326635, 1256.00825124, 
76.0, 1588.95082331, 881.151388357, 1229.27188846, 
77.0, 1562.65162224, 855.021767279, 1202.86904615, 
78.0, 1536.57662506, 828.037017119, 1176.80191368, 
79.0, 1510.7275762, 801.591655412, 1151.0725756, 
80.0, 1485.1061992, 775.687638665, 1125.68300531, 
81.0, 1459.7141945, 750.326545855, 1100.63505995, 
82.0, 1434.55323809, 725.509568599, 1075.93047549, 
83.0, 1409.6249794, 701.237497954, 1051.57086216, 
84.0, 1384.93103922, 677.510707466, 1027.55769869, 
85.0, 1360.47300938, 654.32914636, 1003.89232672, 
86.0, 1336.25245321, 631.692327669, 980.575946903, 
87.0, 1312.27089804, 609.599318577, 957.609614764, 
88.0, 1288.52983552, 589.002957877, 934.994235932, 
89.0, 1265.03071938, 569.364999337, 912.730562464, 
90.0, 1241.77496355, 550.198471973, 890.81918885, 
91.0, 1218.7639402, 531.50097112, 869.260548912, 
92.0, 1195.99897709, 513.269749544, 848.054912296, 
93.0, 1173.4813555, 495.501714659, 827.202382154, 
94.0, 1151.21230828, 478.193428587, 806.702893261, 
95.0, 1129.19301759, 461.341122234, 786.556209455, 
96.0, 1107.42461264, 444.940688093, 766.76192211, 
97.0, 1085.90816724, 428.987699348, 747.319448987, 
98.0, 1064.39567594, 413.477410895, 728.228033495, 
99.0, 1042.69072024, 398.404768312, 709.486744816, 
100.0, 1022.14599599, 383.764426272, 691.094477916, 
101.0, 1002.55215071, 369.550747918, 673.04995397, 
102.0, 982.430606511, 355.757827974, 655.351721011, 
103.0, 962.564102588, 342.37950254, 637.99815579, 
104.0, 942.953229342, 329.409362156, 620.987465337, 
105.0, 923.598507636, 316.840767016, 604.317689683, 
106.0, 904.50038681, 304.666866947, 587.986704415, 
107.0, 885.659243123, 292.88061099, 571.992223165, 
108.0, 867.075378086, 281.474768038, 556.331801229, 
109.0, 848.749016942, 270.441944847, 541.00283937, 
110.0, 830.680307297, 259.774599877, 526.002588475, 
111.0, 812.869317732, 249.478690784, 511.328153341, 
112.0, 795.316036521, 239.556331385, 496.976497512, 
113.0, 778.020370617, 229.973546952, 482.944448382, 
114.0, 760.982144493, 220.72247299, 469.228702457, 
115.0, 744.201099235, 211.795186574, 455.825830882, 
116.0, 727.676891708, 203.18372516, 442.732285211, 
117.0, 711.40909382, 194.880100528, 429.944403079, 
118.0, 695.397192046, 186.876315356, 417.458414409, 
119.0, 679.640586854, 179.164378602, 405.270447439, 
120.0, 664.138592487, 171.736318402, 393.376535163, 
