Date: 2018-01-30 21:50:00.212320

---Species concentration bounds--- 
Ester : (2660.0, 2940.0)
afEst2 : (9.5, 10.5)

--- Parameters --- 
afest_kcat : (5, 7)
afest_km_ester : (1300, 1700)

Quartile range = 95
Number of samples = 1000

2 parameters and 2 species in uncertainty analysis
4 variables in total
4^2 = 16
4^3 = 64
1000 samples made by lhc


--- Ester Uncertainty Analysis Quartiles ---
Time, Ester High, Ester Low, Ester Mean, 
100.0, 477.415725317, 136.790452698, 289.51319401, 
101.0, 465.626230686, 131.024729249, 280.387900315, 
102.0, 453.869946904, 125.364623184, 271.513671586, 
103.0, 442.145144261, 119.664931831, 262.885669869, 
104.0, 430.656587934, 114.399372577, 254.499039958, 
105.0, 419.402215547, 109.41477743, 246.348915888, 
106.0, 408.379887471, 104.632258122, 238.430427268, 
107.0, 397.587388948, 100.045513701, 230.738705428, 
108.0, 387.022433124, 95.6577927824, 223.268889334, 
109.0, 377.2242901, 91.4507002073, 216.016131218, 
110.0, 367.6978909, 87.4177585909, 208.975601986, 
111.0, 358.358206812, 83.5526468472, 202.14249643, 
112.0, 349.213628915, 79.8492027843, 195.512038106, 
113.0, 339.594788965, 76.3014244372, 189.079484021, 
114.0, 330.162239271, 72.8540274492, 182.840129002, 
115.0, 320.94411845, 69.5495893201, 176.789309854, 
116.0, 311.915354492, 66.3886411612, 170.922409228, 
117.0, 303.097162816, 63.3654981653, 165.234859228, 
118.0, 294.486660843, 60.474653991, 159.722144758, 
119.0, 286.490183305, 57.7107802728, 154.379806617, 
120.0, 278.794595392, 55.0687247367, 149.203444359, 
121.0, 271.27436662, 52.5435079043, 144.188718927, 
122.0, 263.926928715, 50.1303204641, 139.331355028, 
123.0, 256.74969093, 47.8245200289, 134.627143237, 
124.0, 249.740042906, 45.6216287849, 130.071941947, 
125.0, 242.895357264, 43.5173296787, 125.661679047, 
126.0, 236.212992223, 41.5074627693, 121.392353411, 
127.0, 229.690294057, 39.5880218211, 117.260036184, 
128.0, 223.290067885, 37.7551501694, 113.26087189, 
129.0, 217.088903378, 36.0051373802, 109.391079343, 
130.0, 211.043562273, 34.3344148872, 105.646952346, 
131.0, 205.147322629, 32.7456826625, 102.024860297, 
