Date: 2018-01-28 13:59:07.881063

---Species concentration bounds--- 
afEst2 : (9.5, 10.5)
Ester : (3800.0, 4200.0)

--- Parameters --- 
afest_km_ester : (1300, 1700)
afest_kcat : (5, 7)


--- Ester Uncertainty Analysis Quartiles ---
Time, Ester High, Ester Low, Ester Mean, 
43.0, 2618.14028884, 1987.4440782, 2271.21509519, 
44.0, 2586.1298708, 1948.4480955, 2235.31536716, 
45.0, 2554.26407982, 1909.83552606, 2199.65279712, 
46.0, 2522.544531, 1871.57892821, 2164.23048816, 
47.0, 2490.97285471, 1833.68102812, 2129.05156466, 
48.0, 2459.55069663, 1796.14628292, 2094.1191696, 
49.0, 2428.27971643, 1758.95884856, 2059.43646426, 
50.0, 2397.16158403, 1720.06078454, 2025.00662596, 
51.0, 2366.19798606, 1685.1919385, 1990.83284587, 
52.0, 2335.39062355, 1649.43767978, 1956.91832701, 
53.0, 2304.74121141, 1613.74787891, 1923.26628123, 
54.0, 2274.25147837, 1578.44749812, 1889.87992796, 
55.0, 2243.92316588, 1543.54083024, 1856.762491, 
56.0, 2213.75802195, 1509.75991512, 1823.91719538, 
57.0, 2183.75780928, 1476.68138724, 1791.347265, 
58.0, 2153.92430328, 1443.97610303, 1759.05591959, 
59.0, 2124.2592909, 1411.64795466, 1727.04637099, 
60.0, 2094.76457034, 1379.70077368, 1695.32181966, 
61.0, 2065.44195035, 1348.13832234, 1663.88545169, 
62.0, 2036.29324182, 1316.96428589, 1632.74043502, 
63.0, 2007.32026613, 1285.732935, 1601.88991471, 
64.0, 1978.52485507, 1252.01683958, 1571.33700973, 
65.0, 1949.90884829, 1218.76974331, 1541.08480844, 
66.0, 1921.47409299, 1186.17331459, 1511.13636454, 
67.0, 1893.2224433, 1156.13507057, 1481.49469084, 
68.0, 1865.1557525, 1126.54266897, 1452.16275646, 
69.0, 1837.27587655, 1097.39902608, 1423.14348142, 
70.0, 1809.58467713, 1068.70687769, 1394.43973112, 
71.0, 1782.08401817, 1040.46878866, 1366.05431149, 
72.0, 1754.77576507, 1012.68713675, 1337.9899638, 
73.0, 1727.66178091, 985.364098837, 1310.24935917, 
74.0, 1700.74392773, 958.501636664, 1282.83509368, 
75.0, 1674.02406669, 932.101488388, 1255.74968195, 
76.0, 1647.50405625, 906.165160948, 1228.99555182, 
77.0, 1621.185751, 880.693929805, 1202.57503996, 
78.0, 1595.07099393, 855.702874298, 1176.49038445, 
79.0, 1569.16162099, 831.270665282, 1150.74372036, 
80.0, 1543.45946135, 807.303129312, 1125.33707297, 
81.0, 1517.96633452, 783.800420603, 1100.27235302, 
82.0, 1492.6840488, 760.762424524, 1075.55135116, 
83.0, 1467.61439368, 738.188754386, 1051.17573247, 
84.0, 1442.75914463, 716.078747368, 1027.14703089, 
85.0, 1418.12006208, 694.43145843, 1003.46664424, 
86.0, 1393.69888867, 673.245659457, 980.135829318, 
87.0, 1369.49734737, 652.519837526, 957.155696627, 
88.0, 1345.51713342, 632.252191435, 934.527206579, 
89.0, 1321.75991967, 612.440632747, 912.251164332, 
90.0, 1298.2273546, 593.082786839, 890.328216718, 
91.0, 1274.9210596, 574.175992159, 868.758847857, 
92.0, 1251.84262598, 555.717303473, 847.543376152, 
93.0, 1228.99360965, 537.703495648, 826.681950475, 
94.0, 1206.37553188, 520.131066213, 806.174547861, 
95.0, 1183.98988051, 502.996240656, 786.020971757, 
96.0, 1161.83810565, 485.365945012, 766.220849427, 
97.0, 1139.92161706, 467.502893561, 746.773631031, 
98.0, 1118.2417777, 450.133093206, 727.678587938, 
99.0, 1096.79990742, 433.252091436, 708.934812839, 
100.0, 1075.59727953, 416.85503824, 690.541219383, 
101.0, 1054.63511815, 400.9366937, 672.496542389, 
102.0, 1033.91459561, 385.491444304, 654.799339121, 
103.0, 1013.4368307, 370.513308096, 637.447989891, 
104.0, 993.202886967, 355.995958414, 620.440700402, 
105.0, 973.213768437, 341.932729161, 603.775503911, 
106.0, 953.470417783, 328.316642176, 587.450263625, 
107.0, 933.973713759, 315.140415841, 571.462675491, 
108.0, 914.724468701, 303.03926134, 555.810272436, 
109.0, 895.72343243, 291.815693792, 540.490428037, 
110.0, 876.971287728, 280.946294358, 525.500360643, 
111.0, 858.468645107, 270.423777666, 510.837138132, 
112.0, 840.216043067, 260.24078095, 496.497682542, 
113.0, 822.213944887, 250.389878513, 482.478775909, 
114.0, 804.462734999, 240.863592862, 468.777065902, 
115.0, 786.962720305, 231.707641447, 455.389071244, 
116.0, 769.714126753, 222.858989452, 442.31118764, 
117.0, 752.717098187, 213.732362801, 429.539694667, 
118.0, 735.971699496, 204.743616609, 417.070761887, 
119.0, 719.477909907, 196.084228495, 404.900455435, 
120.0, 703.235622598, 187.745690902, 393.024744724, 
121.0, 687.24464402, 179.719471192, 381.439509262, 
122.0, 671.504693528, 171.997031487, 370.140545635, 
123.0, 656.015401946, 164.569841446, 359.123574157, 
124.0, 640.776310444, 157.692525065, 348.384245614, 
125.0, 625.786869965, 151.413360313, 337.918148735, 
126.0, 611.046441627, 145.3632004, 327.720816488, 
127.0, 596.554297104, 139.535219803, 317.787732921, 
128.0, 582.309616431, 133.922690871, 308.114339827, 
129.0, 568.311488698, 128.518988329, 298.696043173, 
130.0, 554.558912389, 123.216639749, 289.52821986, 
131.0, 541.050797034, 117.760485893, 280.606223757, 
132.0, 527.785961954, 112.528195006, 271.925391778, 
133.0, 514.763137243, 107.512020144, 263.481049734, 
134.0, 501.980964617, 102.704369409, 255.268518384, 
135.0, 489.437999094, 98.0978119721, 247.28311865, 
136.0, 477.132709668, 93.6850828592, 239.520177288, 
137.0, 465.063480376, 89.4590877534, 231.975031824, 
138.0, 453.22861191, 85.4129058822, 224.643035548, 
139.0, 441.62632337, 81.5397931651, 217.519562203, 
140.0, 430.254754065, 77.8331844028, 210.600010436, 
141.0, 419.111965276, 74.2866937268, 203.879808068, 
142.0, 408.19594245, 70.8941166703, 197.354416083, 
143.0, 397.504597301, 67.6494300027, 191.019332511, 
144.0, 387.035769687, 64.5467905158, 184.870095902, 
145.0, 376.787230718, 61.5805356839, 178.902288705, 
146.0, 366.756685152, 58.745181551, 173.111540351, 
147.0, 356.94177424, 56.0354205768, 167.493530148, 
148.0, 347.340077213, 53.446121248, 162.043989962, 
149.0, 337.949115293, 50.9723242985, 156.758706588, 
